Modalidad;actividad;descripcion_actividad;lugar;dirección;calle;altura;barrio ;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;se_suspende_por_lluvia;Gratuita;long;lat;Links
Presencial;VACACIONES DE INVIERNO - Taller de escritura Mesa de escritura con Camila Fabbri;;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-07-30;2021-07-30;Actividad;Formación;Literatura, Libro y Lectura;Jóvenes (13-21);Si;si;-58.39157827082086;-34.58649649707381;
Presencial;VACACIONES DE INVIERNO - Taller de dibujo Lo que hay en la cabeza con Pitucardi;;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-08-01;2021-08-01;Actividad;Formación;Literatura, Libro y Lectura;Jóvenes (13-21);Si;si;-58.39157827082086;-34.58649649707381;
Virtual;Convocatoria - El obrador;;;;;;;;2021-07-16;2021-08-15;Convocatoria;;Mixto;Jóvenes (13-21);No;si;;;
Virtual;Convocatoria - Publicación de libro álbum;;;;;;;;2021-07-16;2021-07-31;Convocatoria;;Mixto;Público General;No;si;;;
Presencial;"""Drácula"", de Tod Browning. Ciclo Enciclopedia cinematográfica del vampirismo";;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-07-25;2021-07-25;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;"""Dracul"" Tod Browning - Enciclopedia cinematográfica del vampirismo";;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-08;2021-08-08;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;"""La novia ensangrentada"" Vicente Aranda - Enciclopedia cinematográfica del vampirismo";;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-07-25;2021-07-25;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;"""Valeria y la semana de las maravillas"" de J. Jires - Enciclopedia cinematográfica del vampirismo";;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-07-31;2021-07-31;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;El día trajo la oscuridad, Martín De Salvo - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-07-31;2021-07-31;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;La danza de los vampiros, R. Polanski - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-01;2021-08-01;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Sangre para Drácula, de Paul Morrissey - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-01;2021-08-01;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;El planeta de los vampiros, Mario Bava - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-07;2021-08-07;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Vampyr, C. T. Dreyer - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-07;2021-08-07;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Salem´s Lot, Tobe Hooper - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-08;2021-08-08;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Sed, de Rod Hardy - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-14;2021-08-14;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Nosferatu, F.W. Murnau - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-14;2021-08-14;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Rabia, David Cronenberg - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-15;2021-08-15;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Blacula, William Crain - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-15;2021-08-15;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Labios rojos, de Harry Kümel - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-21;2021-08-21;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Presencial;Ganja y Hess, de Bill Gunn - Enciclopedia cinematográfica del vampirismo;;TEATRO SAN MARTÍN;CORRIENTES AV. 1530;CORRIENTES AV.;1530.0;SAN NICOLAS;1;2021-08-21;2021-08-21;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;No;no;-58.3886424975608;-34.60424090335642;
Virtual;Publicación de novela gráfica;;;;;;;;2021-07-15;2021-08-23;Convocatoria;;Mixto;Público General;No;si;;;
Virtual;Realización de fanzines;;;;;;;;2021-07-15;2021-08-17;Convocatoria;;Artes Visuales;Público General;No;si;;;
Virtual;Duelo de parlantes 2021;;;;;;;;2021-07-15;2021-08-14;Convocatoria;;Música;Público General;No;si;;;
Virtual;Cultura Rap | Torneo de freestyle rap organizado por Juancín;;;;;;;;2021-07-15;2021-08-03;Convocatoria;;Música;Público General;No;si;;;
Presencial;Taller percusión señas II;;BARRIO ZAVALETA;IRIARTE, GRAL. AV. 3701;IRIARTE, GRAL. AV.;3701.0;BARRACAS;4;2021-06-26;2021-09-11;Formación;Formación;Música;Jóvenes (13-21);No;si;-58.39884034962597;-34.65103744179545;
Virtual;SEAMOS PUENTE - Sin Cordones;;;;;;;;2021-06-27;2021-12-31;Actividad;Ciclo;Mixto;Niños (4-7);No;si;;;
Virtual;Día del orgullo LGBTIQ+ junto a Centro PEN;;;;;;;;2021-06-28;2021-07-05;Actividad;Ciclo;Literatura, Libro y Lectura;Público General;No;si;;;https://www.instagram.com/impulsocultural/
Presencial;Visita Museo Sívori;;MUSEO SÍVORI;ISABEL, INFANTA AV. 555;ISABEL, INFANTA AV.;555.0;PALERMO;14;2021-07-21;2021-07-21;Actividad;Visita / Recorrido;Mixto;Pre-adolescentes (8-12);No;si;-58.42116532940825;-34.57071895511559;
Presencial;Visita Museo Sívori;;MUSEO SÍVORI;ISABEL, INFANTA AV. 555;ISABEL, INFANTA AV.;555.0;PALERMO;14;2021-07-24;2021-07-24;Actividad;Visita / Recorrido;Mixto;Pre-adolescentes (8-12);No;si;-58.42116532940825;-34.57071895511559;
Presencial;Visita Museo Sívori;;MUSEO SÍVORI;ISABEL, INFANTA AV. 555;ISABEL, INFANTA AV.;555.0;PALERMO;14;2021-07-25;2021-07-25;Actividad;Visita / Recorrido;Mixto;Pre-adolescentes (8-12);No;si;-58.42116532940825;-34.57071895511559;
