Modalidad;actividad;descripcion_actividad;lugar;dirección;calle;altura;barrio ;comuna;fecha_ini;fecha_fin;tipo;tipo_actividad;disciplina;publico_objetivo;se_suspende_por_lluvia;Gratuita;long;lat;Links
Presencial;Verano de Cine Nacional: Mamá se fue de viaje;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-11-09;2021-11-09;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Virtual;Libro Móvil;"Una vidriera de libros nómade en el espacio público, donde se pueden adquirir títulos de librerías barriales y editoriales independientes y asociarse a la Red de Librerías Públicas de la Ciudad.
";distintas ferias de la ciudad y espacios verdes cada semana. recorrido: https://www.buenosaires.gob.ar/cultura/promocion-cultural/este-verano-libro-movil-sale-buscarte;;;;;;2021-01-13;2021-03-06;Actividad;Ciclo;Literatura, Libro y Lectura;Público General;Si;Si;;;https://www.buenosaires.gob.ar/cultura/impulso-cultural/noticias/libro-movil-sale-rodar-por-las-ferias-de-la-ciudad
Virtual;Instalar Danza;Ciclo de danza online a través de Vivamos Cultura. Con el apoyo de Prodanza;;;;;;;2021-01-15;2021-02-15;Actividad;Ciclo;Artes Escénicas;Público General;No;Si;;;https://vivamoscultura.buenosaires.gob.ar/contenido/2346-instalar-danza-de-fundacion-cazadores
Presencial;Verano de Cine Nacional: Betibú;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-11-16;2021-11-16;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Virtual;Concurso Desarrollo de Proyectos Audiovisuale;Concurso de desarrollo de proyectos audiovisuales impulsado por Buenos Aires Cluster Audiovisual. Cuenta con el apoyo de Mecenazgo.;-;;;;;;2021-01-20;2021-02-19;Convocatoria;;Cine y Audiovisual;Público General;No;Si;;;https://bacacluster.com/
Presencial;Verano de Cine Nacional: El día que me muera;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-01-23;2021-01-23;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Presencial;Verano de Cine Nacional: Gilda;Ciclo de cine nacional al aire libre con una programación compuesta por dos comedias, un policial y una biopic;CLUB ARQUITECTURA;BEIRO, FRANCISCO AV. 2116;BEIRO, FRANCISCO AV;2116.0;AGRONOMIA;15;2021-01-30;2021-01-30;Actividad;Función / Exhibición;Cine y Audiovisual;Público General;Si;Si;-58.48509110286446;-34.58948345186382;
Presencial;Impulso Tango en Abasto Cultural;Performance de dos parejas de bailarines y banda musical en Abasto. Impulso Tango es una iniciativa de la Dirección General de Desarrollo Cultural y Creativo con el objetivo de posicionar, visibilizar y difundir el tango, las milongas y sus múltiples expresiones e identificaciones.;ABASTO;AGUERO 635;AGUERO;635.0;BALVANERA;3;2021-01-30;2021-01-30;Actividad;Función / Exhibición;Artes Escénicas;Público General;Si;Si;-58.41140557328768;-34.60294011774995;
Presencial;Presentación de libro;El cineasta Juan Villegas presenta Diario de la grieta. En diálogo con la periodista Gabriela Radice.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-16;2021-01-16;Actividad;Encuentro;Literatura, Libro y Lectura;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;Cine al aire libre;Proyección de The Thing (El enigma de otro mundo), de John Carpenter (1982);PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-16;2021-01-16;Actividad;Ciclo;Cine y Audiovisual;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-21;2021-01-21;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Mariu Fernández en concierto;Dirigida por Mariu Fernández.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-21;2021-02-21;Actividad;Función / Exhibición;Artes Escénicas;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;Vacío;Dirección de Diego Sebastián Oria.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-22;2021-01-22;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-22;2021-01-22;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Instrucciones para enseñarle a volar a mi elefante rosa;Dirección de Alejandra Rubio.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-22;2021-01-22;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Interior;Por Monomujer, teatro para un espectador. Funciones cada 15 minutos.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-23;2021-01-23;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;----;Dirigida por Lorena Romanin.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-23;2021-01-23;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Cine al aire libre;Proyección de La niebla, de John Carpenter (1980);PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-23;2021-01-23;Actividad;Ciclo;Cine y Audiovisual;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-28;2021-01-21;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Vacío;Dirección de Diego Sebastián Oria.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-12-29;2021-01-29;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-29;2021-01-29;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Instrucciones para enseñarle a volar a mi elefante rosa;Dirección de Alejandra Rubio.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-29;2021-01-29;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Interior;Por Monomujer, teatro para un espectador. Funciones cada 15 minutos.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-30;2021-01-30;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Pipipalooza;Pipipalooza - Amigues leyendo es un festival de lecturas y también un punto de encuentro.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-23;2021-01-23;Actividad;Festival;Literatura, Libro y Lectura;Público General;0;Si;-58.3886951808197;-34.60543895273936;
Presencial;Todo lo posible;Dirigida por Lorena Romanin.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-01-30;2021-01-30;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Cine al aire libre;Proyección de El Príncipe de las Tinieblas, de John Carpenter (1987);PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-30;2021-01-30;Actividad;Ciclo;Cine y Audiovisual;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;El pacto Quiroga;Se presenta la banda integrada por Leandro Quiroga, Luis Paz, Daniel Alberto Villalba, Ignacio Calza, Martin Oliva.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-02-04;2021-02-04;Actividad;Concierto / Recital;Música;Público General;0;Si;-58.3886951808197;-34.60543895273936;
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-04;2021-02-04;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Vacío;Dirección de Diego Sebastián Oria.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-05;2021-02-05;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-05;2021-02-05;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Instrucciones para enseñarle a volar a mi elefante rosa;Dirección de Alejandra Rubio.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-05;2021-02-05;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Interior;Por Monomujer, teatro para un espectador. Funciones cada 15 minutos.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-06;2021-02-06;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Pipipalooza;Pipipalooza - Amigues leyendo es un festival de lecturas y también un punto de encuentro.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-01-30;2021-01-30;Actividad;Festival;Literatura, Libro y Lectura;Público General;0;Si;-58.3886951808197;-34.60543895273936;
Presencial;Todo lo posible;Dirigida por Lorena Romanin.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-06;2021-02-06;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-11;2021-02-11;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Mariu Fernández en concierto;Dirigida por Mariu Fernández.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-02-11;2021-02-11;Actividad;Función / Exhibición;Artes Escénicas;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;Mariu Fernández en concierto;Dirigida por Mariu Fernández.;PLAZA ALMAGRO;SARMIENTO 1552;SARMIENTO;1552.0;SAN NICOLAS;1;2021-02-12;2021-02-12;Actividad;Función / Exhibición;Artes Escénicas;Público General;0;Si;-58.3886951808197;-34.60543895273936;http://elculturalsanmartin.org/
Presencial;Vacío;Dirección de Diego Sebastián Oria.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-12;2021-02-12;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-12;2021-02-12;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Instrucciones para enseñarle a volar a mi elefante rosa;Dirección de Alejandra Rubio.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-12;2021-02-12;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Interior;Por Monomujer, teatro para un espectador. Funciones cada 15 minutos.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-13;2021-02-13;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Todo lo posible;Dirigida por Lorena Romanin.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-13;2021-02-13;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-18;2021-02-18;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;FASCINARIO;Dirigida por Dennis Smith.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-18;2021-02-18;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;La Naty;Obra monólogo. Dirigida por Sol Bonelli.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-19;2021-02-19;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;https://publico.alternativateatral.com/entradas72308-la-naty?o=14
Presencial;Instrucciones para enseñarle a volar a mi elefante rosa;Dirección de Alejandra Rubio.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-19;2021-02-19;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Presencial;Interior;Por Monomujer, teatro para un espectador. Funciones cada 15 minutos.;CENTRO CULTURAL GENERAL SAN MARTIN;SARMIENTO 1551;SARMIENTO;1551.0;SAN NICOLAS;1;2021-02-20;2021-02-20;Actividad;Función / Exhibición;Artes Escénicas;Público General;No;Si;-58.38858571182652;-34.60537062755823;http://elculturalsanmartin.org/
Virtual;Convocatoria: Premio estímulo a la creación y producción de artes escénicas;Una acción conjunta entre el CTBA y el Banco Ciudad de impulso y acompañamiento a las artes escénicas del circuito independiente. Recepción de proyectos hasta el 22/2;;;;;;;2021-01-08;2022-02-22;Convocatoria;;Artes Escénicas;Público General;No;Si;;;www.complejoteatral.gob.ar
Presencial;Música en el Hall Javier Malosetti;Ciclo Modos Híbridos. Recital de Javier Malosetti, dentro del ciclo Música en el Hall;CASA DE LA CULTURA;DE MAYO AV. 575;DE MAYO AV.;575.0;MONSERRAT;1;2021-01-16;2021-01-23;Actividad;Función / Exhibición;Artes Escénicas;Público General;0;Si;-58.37440517193419;-34.6084866928315;http://vivamoscultura.bueosaires.gob.ar
Virtual;Buscando a Vassa;Ciclo Modos Híbridos. Dirigido por Agustina Kamien;;;;;;;2021-01-23;2021-04-17;Actividad;Función / Exhibición;Artes Escénicas;Público General;0;Si;;;http://vivamoscultura.bueosaires.gob.ar
Presencial;Amor de Verano. Muestras Visuales | La civilización perdida;Artistas: Gabriel Chaile, Edgardo Gimenez y Geraldine Scwindt. Curadora: Laura Spivak. Sala Cronopios;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Muestras Visuales | Cosmovisión Natural;Cosmovisión Natural abordará nuestro vínculo con la naturaleza haciendo foco en procesos sociopolíticos, espirituales, filosóficos, o relacionados con la transmisión de oficios y saberes. Artistas: Marcela Cabutti, Paula Duró, Maximiliano Peralta Rodríguez y Yaikel.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Muestras Visuales | El Camino de las formas;Es una muestra sobre el pensamiento abstracto en la que artistas y curadores de distintas generaciones ensayan un posible recorrido organizado en tres etapas: orden, caos y reconstrucción. Artistas: Cotelito, Elian Chali, Jimena Fuertes, Graciela Hasper, Cristina Schiavi, Andrés Sobrino, Luis Wells y Carola Zech. Agradecimientos: Galería Maman y Museo MACBA.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Muestras Visuales | Sobrecarga;Historieta independiente argentina en cuatro décadas de fanzines y derivados.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Muestras Visuales | Fenómeno Impreso;Fenómeno Impreso exhibirá obras de jóvenes ilustradores curadas por Daniel Roldán, artista, ilustrador y docente de la primer cátedra ilustración de la carrera de Diseño Gráfico de FADU.Artistas: Gastón Caba, Florencia Capella, Pablo I. Elías, Marcos Farina, Armando Fonseca, Guardabosques, Yan Melicha, Amanda Mijangos, Juan Puerto, Pupé, Ana Sanfelippo y Tiempo de tintas.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Muestras Visuales | Tipos y Letras;Tipografía latinoamericana en el siglo veintiuno.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Muestras Visuales | CODIGOLUX;Artista: Plan - Curador: Luis Guimelli;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Intervención | Callejón de los elementos;Artistas: Cabe, Swam, Ice, Ladyb, Mako y Membs.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Exposición;Artes Visuales;Público General;No;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Visitas guiadas;Continúan las visitas guiadas por el Recoleta para quienes quieran conocer el pasado y el presente del centro cultural. Son recorridos pensados especialmente para compartir la historia de este edificio que es patrimonio histórico, que fue construido sobre un casco de 300 años, y que se consolidó como un espacio vivo y participativo que hacemos desde toda la comunidad.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-02-28;Actividad;Encuentro;Mixto;Público General;Si;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;"Amor de Verano. Taller | Dibujo. Cuaderno de casi todo con Sofía Alvarez ""la Watson""";"Todos los martes habrá talleres de dibujo e historietas a cargo de profesores como Sofía Alvarez ""la Watson"", Ezequiel García y Mariano Grassi, para quienes tengan ganas de soltar la mano y animarse a experimentar con el dibujo y la historieta aunque no tengan experiencia previa. Las clases abiertas de dibujo y de entrenamiento físico son espacios para probar y experimentar, para aprender cosas nuevas en estos meses de vacaciones.";CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-12;2021-01-12;Formación;Formación;Mixto;Público General;Si;Si;-58.39157827082086;-34.58649649707381;https://www.instagram.com/elrecoleta/?hl=es-la
Presencial;Amor de Verano. Taller | Entrenamiento. Entrenamiento físico y elongación con Cynthia Snaidman;Los miércoles distintos profesores darán talleres de entrenamiento físico enfocados en diversas técnicas. Las clases abiertas de dibujo y de entrenamiento físico son espacios para probar y experimentar, para aprender cosas nuevas en estos meses de vacaciones.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-13;2021-01-13;Formación;Formación;Mixto;Público General;Si;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Teatro | Aire de teatro. Flores Nuevas de Nadir Medina;Unipersonal escrito por Federico Falco y protagonizado por Ignacio Tamagno. Transcurre en un pueblo monótono del interior de Córdoba, un lugar en el que aparentemente nada pasa, pero en donde el comienzo de las clases, las fiestas de 15 y una serie de pequeñas tragedias alterarán su habitual normalidad.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-13;2021-01-13;Actividad;Función / Exhibición;Artes Escénicas;Público General;Si;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Celebración | Recoleta Picnic Nocturno;Nuevo ciclo para celebrar el verano en los patios y terraza del Recoleta y venir con amigxs a disfrutar de la noche al aire libre, tomar y comer algo rico en los trucks gastronómicos, escuchar música en vivo y participar de diferentes intervenciones artísiticas y culturales.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-14;2021-01-14;Actividad;Festival;Mixto;Jóvenes (13-21);Si;Si;-58.39157827082086;-34.58649649707381;https://www.instagram.com/elrecoleta/?hl=es-la
Presencial;Amor de Verano. Recitales | Cancionero de Verano. Vic Bernardi;"Los viernes serán días llenos de música en vivo. LLega ""Cancionero de verano"", un ciclo de recitales en la terraza que todas las semanas traerá referentes de la escena indie de distintos géneros como rock, pop, rap y electrónica. Se presentarán solistas y bandas como Vic Bernardi, Miranda Johansen, Mi Amigo Invencible, entre otrxs.";CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-15;2021-01-15;Actividad;Concierto / Recital;Música;Jóvenes (13-21);Si;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Ferias | Mirar y Enamorarse. Feria de novedades 2020 de cómics e ilustración de Espacio Moebius.;Todos los sábados habrá ferias dedicadas al universo de las artes gráficas, la historieta, la ilustración y los fanzines. En esta fecha participará Moebius, enfocada en la ilustración y el cómic.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-16;2021-01-16;Actividad;Feria;Mixto;Jóvenes (13-21);Si;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;"Amor de Verano. Recital | El Emergente visita el Recoleta con el ciclo ""Ciudad Emergente, Experiencia Verano en el Recoleta"": LIVIA y Mermelada de Morcilla";Se presentarán algunas de las bandas que fueron seleccionadas por un jurado compuesto por Lula Bertoldi, Juliana Gattas, Zoe Gotusso, Juanchi Baleirón y Maikel de Luna Campos, tras una convocatoria a nivel nacional. Son grupos que durante 2020 tuvieron una experiencia de formación, capacitación e intercambio con expertos de la música a través de encuentros por Zoom y ahora tocarán en vivo en diferentes escenarios de la Ciudad de Buenos Aires.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;2;2021-01-16;2021-01-16;Actividad;Concierto / Recital;Música;Jóvenes (13-21);Si;Si;-58.39157827082086;-34.58649649707381;http://www.centroculturalrecoleta.org/agenda
Presencial;Amor de Verano. Celebración | Recoleta Picnic Nocturno en Jardines del Museo Larreta;Nuevo ciclo para celebrar el verano en los patios y terraza del Recoleta y venir con amigxs a disfrutar de la noche al aire libre, tomar y comer algo rico en los trucks gastronómicos, escuchar música en vivo y participar de diferentes intervenciones artísiticas y culturales. Además, algunos sábados, Recoleta Pic Nic Nocturno visitará otros espacios al aire libre de la ciudad.;CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN;1930.0;RECOLETA;RECOLETA;2021-01-16;2021-01-16;Actividad;Festival;Mixto;Jóvenes (13-21);Si;Si;;;https://www.instagram.com/elrecoleta/?hl=es-la
