grupo,culto,nombre_institucion,domicilio,barrio,cgpc,cp,lat,long
Cristianos,Católico Apostólico Romano ,Jesus Sacramentado,Corrientes 4441,Almagro,5.0,C1195AAD,-34.60241,-58.427826
Cristianos,Católico Apostólico Romano ,Mater Misericordiae,24 De Noviembre 865,San Cristobal,3.0,1224,-34.621186,-58.410837
Cristianos,Católico Apostólico Romano ,Nuetra Señora De La Medalla Milagrosa,Santo Domingo 3940,Nueva Pompeya,4.0,C1437IDD,-34.655178,-58.405451
Cristianos,Católico Apostólico Romano ,Nuetra Señora De Copacabana,Itaqui Y Charrua,Villa Soldati,4.0,1437,-34.653526,-58.432237
Cristianos,Católico Apostólico Romano ,Maria Auxiliadora,Yapeyu 172,Almagro,5.0,C1202ACD,-34.61402,-58.421764
Cristianos,Católico Apostólico Romano ,Maria Inmaculada,Gallo 986,Almagro,5.0,C1172ABT,-34.598451,-58.412052
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Guadalupe,Mansilla 3851,Palermo,14.0,C1425BQA,-34.58888,-58.417564
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Misericordia,Azcuenaga 1654,Recoleta,2.0,C1128AAB,-34.589946,-58.397032
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Huerto,Avda. General Mosconi 3054,Villa Pueyrredón,12.0,C1419EQW,-34.587537,-58.504108
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Misericordia,Avda.  Cabildo 1333,Belgrano,13.0,C1426ABA,-34.567564,-58.449349
Cristianos,Católico Apostólico Romano ,San Bonifacio,Cuba 2981,Nuñez,13.0,1429,-34.552921,-58.462396
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Huerto,Rincon 827,San Cristobal,3.0,C1227ACG,-34.619032,-58.396016
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Misericordia,Directorio 2118,Flores,7.0,C1406GZX,-34.632364,-58.456834
Cristianos,Católico Apostólico Romano ,Nuestra Señora Delujan,Jujuy 2181,Parque Patricios,4.0,C1427ABJ,-34.635321,-58.399222
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Merced De Sión,Bartolomé Mitre 3459,Almagro,5.0,C1201AAB,-34.609385,-58.415359
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Rosario,Defensa 422,Montserrat,1.0,C1065AH,-34.613072,-58.371855
Cristianos,Católico Apostólico Romano ,Regina Martyrum,Hipólito Yrigoyen  2025,Balvanera,3.0,C1089AAM,-34.6105,-58.395258
Cristianos,Católico Apostólico Romano ,Nuestro Señor De La Salud,Anchorena 1563,Recoleta,2.0,C1425ELI,-34.592109,-58.403652
Cristianos,Católico Apostólico Romano ,Sagrada Familia De Nazareth,Conesa 1076,Colegiales,13.0,C1426AQV,-34.572703,-58.452237
Cristianos,Católico Apostólico Romano ,Sagrada Familia,Gral. Jose Artigas 1276,Villa Gral. Mitre,11.0,C1416AKF,-34.615958,-58.470611
Cristianos,Católico Apostólico Romano ,San Francisco De Sales,Belgrano  3863,Almagro,5.0,C1210AAG,-34.615774,-58.420963
Cristianos,Católico Apostólico Romano ,San Antonio,Mexico 4050,Almagro,5.0,C1223ACF,-34.620327,-58.423329
Cristianos,Católico Apostólico Romano ,San Juan Bautista,Alsina 824,Montserrat,1.0,C1087AAN,-34.610595,-58.378023
Cristianos,Católico Apostólico Romano ,Sagrado Corazon De Jesus,Cochabamba 1470,Constitucion,1.0,C1148ABB,-34.624024,-58.386423
Cristianos,Católico Apostólico Romano ,Sagrado Corazon De Jesús,Carlos Pellegrini 1441,Retiro,1.0,C1011AAC,-34.591159,-58.381485
Cristianos,Católico Apostólico Romano ,Santa Catalina De Siena,San Martin 705,San Nicolas,1.0,C1004AAO,-34.599670,-58.374060
Cristianos,Católico Apostólico Romano ,San José,Humberto Primo 1340,Constitucion,1.0,C1103ADB,-34.62114,-58.385129
Cristianos,Católico Apostólico Romano ,San Juan Bautista De La Salle,Riobamba 650,Balvanera,3.0,C1019ABN,-34.601473,-58.394213
Cristianos,Católico Apostólico Romano ,San Francisco,Alsina 380,Montserrat,1.0,C1087AAD,-34.610158,-58.371766
Cristianos,Católico Apostólico Romano ,San Marcelino Champagnat,Montevideo 650,San Nicolas,1.0,C1019ABV,-34.601359,-58.389607
Cristianos,Católico Apostólico Romano ,San José,Gurruchaga 1010,Villa Crespo,15.0,C1414DHV,-34.593441,-58.43573
Cristianos,Católico Apostólico Romano ,San Maria Mazzarello,Garay 4353,Boedo,5.0,C1256ABM,-34.63222,-58.424893
Cristianos,Católico Apostólico Romano ,Santa Felicitas,Isabel La Católica 520,Barracas,4.0,C1268ACI,-34.637214,-58.373599
Cristianos,Católico Apostólico Romano ,San Pablo Apostol,Nazca 4249,Villa Pueyrredón,12.0,C1419DFF,-34.589597,-58.499127
Cristianos,Católico Apostólico Romano ,Santa Francisca Romana,Avda San Martin 5555,Agronomia,15.0,C1417DTS,-34.59691,-58.495275
Cristianos,Católico Apostólico Romano ,Santa Teresa De Jesus,Potosí 4049,Almagro,5.0,C1199ACG,-34.607219,-58.423912
Cristianos,Católico Apostólico Romano ,Santo Cristo,Villanueva 933,Palermo,14.0,C1426BMA,-34.568516,-58.438833
Cristianos,Católico Apostólico Romano ,Santa Teresa De Jesus,Tucuman 3029,Balvanera,3.0,C1189AG,-34.601,-58.408119
Cristianos,Católico Apostólico Romano ,San Roque,Alsina 380,Montserrat,1.0,C1087AAD,-34.610158,-58.371766
Cristianos,Católico Apostólico Romano ,Cildañez,Villa Cildañez (n° 6)  Witte 5630,Parque Avellaneda,9.0,1439,,
Cristianos,Católico Apostólico Romano ,La Inmaculada,Barrio Dr. Ramon Castillo Calle C Esquina Sin Nombre Oficial,Mataderos,9.0,1437,,
Cristianos,Católico Apostólico Romano ,De Cristo Resucitado,Villa Inta (n°19)    Manzana 3,Villa Riachuelo,8.0,1439,,
Cristianos,Católico Apostólico Romano ,Santa Teresa De Niño Jesus,Ezeiza 3054,Villa Pueyrredón,12.0,1419,-34.577797,-58.512527
Cristianos,Católico Apostólico Romano ,Santos Martires Coreanos,Thorne 1261,Parque Chacabuco,7.0,C1406CZE,-34.637802,-58.446878
Cristianos,Católico Apostólico Romano ,Señor De La Buena Esperanza,Felipe Vallese 2549,Flores,7.0,1406,-34.621684,-58.468199
Cristianos,Católico Apostólico Romano ,San Cayetano,Villa Pirelli (n° 17) Zuviria 6815,Villa Lugano,8.0,1439,,
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Las Flores,General Eugenio Garzon 3961,Parque Avellaneda,9.0,1407,-34.642976,-58.476523
Cristianos,Católico Apostólico Romano ,Maria Auxiliadora,San Antonio 976,Barracas,4.0,1276,-34.653315,-58.376591
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Buen Consejo,Sta María del Buen Aire 953,Barracas,4.0,1277,-34.654198,-58.381022
Cristianos,Católico Apostólico Romano ,Santa Maria,Sector Lavarden Villa 21 M. 18 C.107,Barracas,4.0,,,
Cristianos,Católico Apostólico Romano ,Nustra Señora De Los Desamparados,Moreto 767,Parque Avellaneda,9.0,1407,-34.644768,-58.486392
Cristianos,Católico Apostólico Romano ,San Luis Rey,Monroe Y  Husares,Belgrano,13.0,,-34.549661,-58.445377
Cristianos,Católico Apostólico Romano ,San José,Asentamiento De San Jose (los Piletones) Prolongación De Ana Maria Janer Y Lacarra,Villa Lugano,8.0,1437,,
Cristianos,Alianza Cristiana y Misionera,Alianza Cristiana Y Misionera - Sede          Capilla Del Seminario,,Belgrano,13.0,C1428EBA,,
Cristianos,Alianza Cristiana y Misionera,Alianza Cristiana Y Misionera,Carlos Calvo 4148,Boedo,5.0,C1230ABV,-34.624975,-58.423852
Cristianos,Católico Apostólico Romano ,Virgencita De Lujan,Villa Fatima  ( N°3)  Manzana 5  Martinez Castro Y Strangford,,-,1437,,
Cristianos,Católico Apostólico Romano ,San Jose De La Montaña,Habana 3964,Villa Devoto,11.0,1419,-34.597759,-58.513186
Cristianos,Alianza Cristiana y Misionera,Alianza Cristiana Y Misionera - Encuentro Con Dios,Crisologo Larralde 3471,Saavedra,12.0,C1430AIA,-34.55411,-58.477588
Cristianos,Alianza Cristiana y Misionera,Iglesia Casa de Fe,Av. Eva Perón 5631,Mataderos,9.0,C1440EGB,-34.652926,-58.515136
Cristianos,Alianza Cristiana y Misionera,Alianza Cristiana Y Misionera - Barrio Rivadavia,Cobo Y Curapaligüe - Casa 976,Flores,7.0,1406,,
Cristianos,Iglesia Anglicana,Iglesia San Pedro,Terrero 239,Flores,-,,-34.623684,-58.457039
Cristianos,Unión de las Asambleas de Dios,Iglesia Asamblea de Dios,Salguero 287,Almagro,-,,-34.607487,-58.419935
Cristianos,Unión de las Asambleas de Dios,Filial Flores,Av. Juan Bautista Alberdi 2260,Flores,7.0,C1406GRY,-34.630655,-58.459564
Cristianos,Alianza Cristiana y Misionera,Alianza Cristiana Y Misionera - Instituto Bíblico De Bs.As,Avalos 1867,Villa Urquiza,12.0,C1431DPI,-34.579718,-58.481632
Cristianos,Unión de las Asambleas de Dios,Asamblea De Dios Argentina Paloma De La Paz,Avda. La Plata 2870,Nueva Pompeya,4.0,1437,-34.647598,-58.417975
Cristianos,Unión de las Asambleas de Dios,Asamblea De Dios Evangélica,Marcos Paz 2076,Monte Castro,10.0,1407,-34.620042,-58.502934
Cristianos,Unión de las Asambleas de Dios,Asamblea De Dios,Avda Del Campo 1680,Paternal,15.0,1427,-34.587752,-58.470586
Cristianos,Unión de las Asambleas de Dios,Asamblea De Dios Flores,Pedro Moran 5164/66,Villa Devoto,11.0,C1419HLV,-34.610831,-58.524995
Cristianos,Unión de las Asambleas de Dios,Asamblea De Dios Liniers,Avda. Rivadavia 11091,Liniers,9.0,1408,-34.638867,-58.520491
Cristianos,Bautistas,Coreana Siloam,Pringles 464/68,Almagro,-,,-34.606445,-58.427677
Cristianos,Unión de las Asambleas de Dios,Iglesia Asamblea de Dios Lugano,Av. Larrazabal 4451,Villa Lugano,-,,-34.679929,-58.467763
Cristianos,Bautistas,Bautista Del  Once,Ecuador 370,Balvanera,-,,-34.605837,-58.40847
Cristianos,Bautistas,Misionera,Gaona 3244,Almagro,-,,-34.618883,-58.470927
Cristianos,Bautistas,,24 De Noviembre 482,Balvanera,-,,-34.616463,-58.410981
Cristianos,Bautistas,Iglesia Bautista De Evangelización Mundial (ibem),Avda. Belgrano 4101,Almagro,-,,-34.615895,-58.424514
Cristianos,Bautistas,Cielos Abiertos,O'higgins 2488,Belgrano,-,,-34.55627,-58.4561
Cristianos,Bautistas,Constitución,Avda. Montes De Oca 260 ,Barracas,-,,-34.631608,-58.37627
Cristianos,Bautistas,Caballito,Bogotá 884,Caballito,-,,-34.617803,-58.443853
Cristianos,Bautistas,"Distrito Sud ""jesus La Unica Esperanza""",Salcedo 4038,Boedo,-,,-34.634603,-58.420726
Cristianos,Bautistas,La  Paternal,Fragata Sarmiento 1517/25,Caballito,-,,-34.607267,-58.457996
Cristianos,Bautistas,Central Coreana   - Bautista-,Nicolás Repetto 362,Caballito,-,,-34.617375,-58.444478
Cristianos,Bautistas,Iglesia Bautista Sion ,Avellaneda 1761,Caballito,-,,-34.620960,-58.455641
Cristianos,Bautistas,"Sudoeste - Ministerio ""presencia De Dios""",José Bonifacio 332/346,Caballito,-,,-34.626464,-58.431737
Cristianos,Bautistas,Iglesia Bautista de Constitución,Av. Montes de Oca 260,Constitucion,-,,-34.631608,-58.376270
Cristianos,Bautistas,Iglesia Bautista De Evangelización Mundial (ibem) - 672,Carlos Calvo 1662,Constitucion,-,,-34.620142,-58.389645
Cristianos,Bautistas,Flores Sud,Cnel Esteban Bonorino 1138/42,Flores,-,,-34.640105,-58.451794
Cristianos,Bautistas,Sinai,Avda. Saenz 543,Nueva Pompeya,-,,-34.645716,-58.416275
Cristianos,Bautistas,Flores,Boyacá 67,Flores,-,,-34.625973,-58.457077
Cristianos,Bautistas,Liniers,Garcia De Cossio 7578,Liniers,-,,-34.654731,-58.524964
Cristianos,Bautistas,Iglesia Evangélica Bautista De Velez Sarsfield,Directorio 3245/49,Floresta,-,,-34.636757,-58.471961
Cristianos,Bautistas,Iglesia Evangelica Bautista De Nueva Chicago,Tapalqué 6468,Mataderos,-,,-34.657735,-58.505548
Cristianos,Bautistas,Montes De Sion  - Anexo Iglesia Bautista Centro,Esteban Bonorino 1885,Flores,-,,-34.646055,-58.444132
Cristianos,Bautistas,Monte Castro,Sanabria 2156/70,Monte Castro,-,,-34.616842,-58.501669
Cristianos,Bautistas,La Mision,Escalada  2258,Parque Avellaneda,-,,-34.658715,-58.477619
Cristianos,Bautistas,Iglesia del Centro,Av. Independencia 1555,Monserrat,-,,-34.617864,-58.388223
Cristianos,Bautistas,Cristo Oasis de Vida,Dean Funes 2116,Nueva Pompeya,-,,-34.635863,-58.403925
Cristianos,Bautistas,El Rey Jesús,José A. Cabrera 4654,Palermo,-,,-34.592491,-58.428822
Cristianos,Bautistas,"Iglesia Bautista De Nuñez, ""casa Del Mesias""",Manzanares 2331,Nuñez,-,,-34.54692,-58.468532
Cristianos,Bautistas,Palermo,Emilio Ravignani 1337/39,Palermo,-,,-34.585048,-58.443038
Cristianos,Bautistas,Latinoamericana,Mariano Acosta 933,Parque Avellaneda,-,,-34.641265,-58.473184
Cristianos,Bautistas,Bautista De Parque Chacabuco,Avda. García Del Río 2455,Parque Chacabuco,-,,-34.54842,-58.469591
Cristianos,Bautistas,Coreana,Salas 621/23,Parque Chacabuco,-,,-34.632804,-58.435302
Cristianos,Bautistas,Iglesia Bautista La Paternal,Fragata Sarmiento 1517/25,Paternal,-,,,
Cristianos,Bautistas,Iglesia Evangélica Bautista ,Zado 3595,Saavedra,-,,-34.569604,-58.505108
Cristianos,Bautistas,Iglesia Bautista,García del Río 2455,Saavedra,-,,-34.548420,-58.469591
Cristianos,Bautistas,Biblica Bautista Fundamental,Machain 3632,Saavedra,-,,-34.558756,-58.487457
Cristianos,Bautistas,Barrio Norte,Laprida 1715,Recoleta,-,,-34.590195,-58.402972
Cristianos,Bautistas,Primera Eslava,Saavedra 1281,San Cristobal,-,,-34.62475,-58.401147
Cristianos,Bautistas,Iglesia Bautista Bet-el,Goya 68,Velez Sarfield,-,,-34.634158,-58.485725
Cristianos,Bautistas,Segunda Iglesia Bautista Eslava,Martinez Castro 249,Velez Sarfield,-,,-34.63708,-58.480754
Cristianos,Bautistas,Villa Crespo,Villaroel 1259/73,Villa Crespo,-,,,
Cristianos,Bautistas,Villa Del Parque,Melincué 4528,Villa Devoto,-,,-34.611914,-58.50881
Cristianos,Bautistas,Cristiana Evangélica,Picheuta  2048,Villa Del Parque,-,,-34.642388,-58.432884
Cristianos,Bautistas,Iglesia Bíblica Bautista,Batalla del Parí 589,Villa Crespo,-,,-34.600070,-58.453356
Cristianos,Bautistas,Evangélico,Gervasio J. Artigas 1897,Villa Gral Mitre,-,,-34.60985,-58.475354
Cristianos,Bautistas,Villa Mitre,José Artigas 1897,Villa Gral Mitre,-,,-34.60985,-58.475354
Cristianos,Bautistas,Barrio Copello,Pola 3256,Villa Lugano,-,,-34.668093,-58.476955
Cristianos,Bautistas,"Villa Lugano ""jesús Es Vida""",Avda. Fernandez De La Cruz 5671/81,Villa Lugano,-,,-34.681739,-58.468834
Cristianos,Bautistas,Villa Lugano,Hudson  4689,Villa Lugano,-,,-34.683461,-58.47306
Cristianos,Bautistas,Evangélica Coreana - Bautista -,Oliden 4694,Villa Lugano,-,,-34.680329,-58.469262
Cristianos,Bautistas,Cristo Vive,Rivadavia 9737,Villa Luro,-,,-34.637614,-58.50145
Cristianos,Bautistas,Villa Pueyrredon,Gabriela Mistral 2670,Villa Pueyrredon,-,,-34.585451,-58.498701
Cristianos,Bautistas,Evangélica Bautista,Yerbal 4964,Villa Luro,-,,-34.636074,-58.495939
Cristianos,Bautistas,Pueblo Nuevo,Pergamino 3010,Villa Soldati,-,,-34.661024,-58.446406
Cristianos,Bautistas,Evangélica Bautista Coreana,Jose Bonifacio 1550,Villa Santa Rita,-,,-34.628982,-58.448688
Cristianos,Bautistas,Rey De Paz,Manuela Pedraza 6283,Villa Urquiza,-,,-34.571719,-58.504647
Cristianos,Bautistas,Villa Urquiza,Rufino Zado 3595,Villa Urquiza,-,,,
Cristianos,Bautistas,Bautista Pueblo Nuevo/ Parque Indoamericano,Avda. Escalada 4037  ,Villa Soldati,-,,-34.67356,-58.45884
Cristianos,Bautistas,Bautista De Parque Chacabuco,Andonaegui 2189,Villa Urquiza,-,,-34.577905,-58.487673
Cristianos,Comunidad Cristiana,Comunidad Cristiana,Olazabal 3602,Belgrano,13.0,C1430BQP,-34.567892,-58.47112
Cristianos,Bautistas,Coreana Argentina,Argerich 392,Flores,-,,-34.628084,-58.472639
Cristianos,Comunidad Cristiana,Iglesia Comunidad Cristiana Nuñez,11 de Septiembre e Iberá,Nuñez,-,,-34.550194,-58.458053
Cristianos,Bautistas,Bautista - Rey De Paz,Av. Constituyentes 5790 ,Villa Urquiza,-,,-34.573634,-58.50295
Cristianos,Comunidad Cristiana,Comunidad Cristiana,Laguna 1229,Parque Avellaneda,9.0,C1407JVS,-34.645821,-58.472069
Cristianos,Comunidad Cristiana,Comunidad Cristiana ,Holmberg 3261,Villa Urquiza,-,,-34.562350,-58.482553
Cristianos,Comunidad Cristiana,Comunidad Cristiana - Central, Condarco 1440 ,Villa Santa Rita,11.0,C1416AQH,-34.61569,-58.474431
Cristianos,Del Nazareno,Nueva Pompeya,Matanza 3318,Nueva Pompeya,4.0,1437,-34.656631,-58.426405
Cristianos,Del Nazareno,Evangélica Del Nazareno,Neuquen 2059,Flores,7.0,1406,-34.616798,-58.461684
Cristianos,Del Nazareno,Del Nazareno,Terrero 960,Flores,7.0,1406,-34.61604,-58.461333
Cristianos,Del Nazareno,San Pablo,Conde 1422,Colegiales,13.0,1426,-34.573976,-58.45808
Cristianos,Del Nazareno,Del Nazareno   (anexo Villa Ballester),White 132,Villa Luro,10.0,1407,-34.639651,-58.492954
Cristianos,Del Nazareno,Emanuel,Behring 2619,Parque Chas,15.0,1427,-34.584901,-58.47557
Cristianos,Del Nazareno,San Cristobal,Rincon 1281,San Cristobal,3.0,,-34.623861,-58.394873
Cristianos,Del Nazareno,Iglesia Del Nazareno,Pirán 5978,Villa Pueyrredon,-,,-34.569218,-58.501992
Cristianos,Del Nazareno,Lugano,Montiel 5682 Dto. 1 Correspondencia Montiel 5427,Villa Riachuelo,8.0,1439,,
Cristianos,Del Nazareno,Del Nazareno,Piran 5984,Villa Urquiza,12.0,1431,-34.569242,-58.502041
Cristianos,Del Nazareno,Del Nazareno,Echeverria 4924,Villa Urquiza,12.0,,-34.5778,-58.479378
Cristianos,Del Nazareno,Del Nazareno,Pergamino 3473,Villa Soldati,8.0,1437,-34.664883,-58.44167
Cristianos,Ejercito de Salvación,Division Buenos Aires,Rivadavia 3257   2° Piso,Balvanera,3.0,1203,,
Cristianos,Ejercito de Salvación,Cuerpo Central,Rivadavia 3253,Balvanera,3.0,1203,-34.610511,-58.412496
Cristianos,Discípulos de Cristo,Discípulos De Cristo ,Arias 2867,Saavedra,12.0,C1429DXW,-34.543684,-58.477621
Cristianos,Discípulos de Cristo,Emanuel - Parroquia Evangélica Idc/iema,Juan Agustin Garcia 2044/48 ,Villa Gral. Mitre,11.0,C1416EKV,-34.605008,-58.471661
Cristianos,Discípulos de Cristo,Discípulos De Cristo,Av. F. Lacroze 2985,Colegiales,13.0,C1426CQC,-34.575834,-58.448377
Cristianos,Ejercito de Salvación,Cuerpo De Barracas,Copahue 2000,Barracas,4.0,1288,,
Cristianos,Ejercito de Salvación,Sede Central,Juan A. Maza 2258,Boedo,5.0,1240,,
Cristianos,Ejercito de Salvación,Cuerpo De La Esperanza,Enrique Ochoa 8 Suarez 2039,Barracas,4.0,1437,,
Cristianos,Ejercito de Salvación,Obra Coreana,Maza 2258,Boedo,5.0,,-34.63768,-58.413324
Cristianos,Ejercito de Salvación,Cuerpo Colegiales,Avda. Alvarez Thomas 830,Chacarita,15.0,1427,-34.579644,-58.453945
Cristianos,Ejercito de Salvación,Cuerpo Nueva Chicago,Av. Directorio 6648,Mataderos,-,46862626,-34.661096,-58.504182
Cristianos,Ejercito de Salvación,Cuerpo De Patricios,Paraguay 1977,Recoleta,2.0,1121,-34.598669,-58.395507
Cristianos,Ejercito de Salvación,Cuerpo Caballito,Avda. Donato Alvarez 455,Caballito,6.0,1406,-34.62048,-58.456334
Cristianos,Ejercito de Salvación,Ejército de Salvación Avanzada Coreana,Av. Nazca 630,Flores,-,,-34.624896,-58.472348
Cristianos,Ejercito de Salvación,Cuerpo De Patricios,Avda. Juan De Garay 2855,San Cristobal,3.0,1256,-34.628981,-58.404444
Cristianos,Evangélica Armenia,Anexo Flores Sur ,Dr Facundo De Zuviria 3350,Flores,7.0,C1407HWB,,
Cristianos,Hermanos Libres,Cristiana Evangélica,Suárez 962,Boca,-,,-34.637882,-58.365781
Cristianos,Evangélica Armenia,Iglesia Evangélica Armenia Cristo Es El Cambio,Domingo Olivera 65,Velez Sarfield,10.0,C1407INA,,
Cristianos,Evangélica Armenia,Jesús Esperanza para Vos,Av. Carabobo 743,Flores,-,,-34.635005,-58.452763
Cristianos,Evangélica Armenia,Iglesia Evangélica Armenia - Central,Carabobo 743,Parque Chacabuco,7.0,C1406DGH,-34.635005,-58.452763
Cristianos,Ejercito de Salvación,Cuerpo De Villa Del Parque,Avda Antonio Alvarez Jonte 3350,Villa Santa Rita,11.0,1407,,
Cristianos,Evangélica Armenia,"Iglesia  Evangélica  Congregacional  Armenia ""santísima Trinidad""",Avellaneda 2538/40,Flores,7.0,C1406FYX,-34.624903,-58.466597
Cristianos,Hermanos Libres,Cristiana Evangélica,Olavarria 332,Boca,4.0,1162,-34.63578,-58.35734
Cristianos,Evangélica Armenia,Anexo Villa Soldati,Av. Varela 3279,Villa Soldati,8.0,C1437BKC,-34.659985,-58.433918
Cristianos,Hermanos Libres,Cristiana Evangélica,San Juan 3371,Boedo,5.0,1407,-34.624991,-58.413038
Cristianos,Hermanos Libres,Iglesia Cristiana Evangélica Griega,Av. Rivadavia 5848,Caballito,-,,-34.623288,-58.447738
Cristianos,Hermanos Libres,Iglesia Cristiana Evangélica,Cabrera 6022,Colegiales,-,,-34.582446,-58.442642
Cristianos,Hermanos Libres,Iglesia Nuevo Comienzo,Dr. Luis Belaustegui 1363,Caballito,-,,-34.606842,-58.459295
Cristianos,Hermanos Libres,Casa De Oración,J.B. Alberdi 2742,Flores,7.0,1406,-34.63271,-58.466314
Cristianos,Hermanos Libres,Cristiana Evangélica,Carlos Calvo 1776,Constitucion,1.0,1102,-34.620237,-58.391217
Cristianos,Hermanos Libres,Vida En Jesus,Honorio Pueyrredon 1044,Caballito,6.0,1405,-34.608578,-58.444909
Cristianos,Hermanos Libres,Puerta Abierta  Inaep,Santo Tomé 5135,Monte Castro,10.0,1417,-34.619841,-58.512581
Cristianos,Hermanos Libres,Cristiana Evangélica,Basualdo 1564,Mataderos,9.0,1440,-34.652045,-58.489356
Cristianos,Hermanos Libres,Hermanos Libres,Baigorria 5776,Monte Castro,10.0,1408,-34.624135,-58.521272
Cristianos,Hermanos Libres,De Los Hermanos En Argentina,O'higgins  3162,Nuñez,13.0,1429,-34.550344,-58.461552
Cristianos,Hermanos Libres,Cristiana Evangélica,Itaquí 2167,Nueva Pompeya,4.0,1437,-34.653742,-58.43263
Cristianos,Hermanos Libres,Iglesia De Los Hermanos,Conesa 3245,Nuñez,13.0,1429,-34.555201,-58.470962
Cristianos,Hermanos Libres,Del Libertador,Avda. Del Libertador 8650,Nuñez,13.0,1429,-34.536311,-58.466704
Cristianos,Hermanos Libres,Iglesia De Los Hermanos,Arias 1950,Nuñez,13.0,1429,-34.540077,-58.468708
Cristianos,Hermanos Libres,Evangélica Cristiana Martelli,Campillo 2775,Parque Chas,15.0,1427,-34.587703,-58.475592
Cristianos,Hermanos Libres,Misión Cristiana Evangélica,Roque Pérez 4719,Saavedra,-,,-34.545821,-58.485538
Cristianos,Hermanos Libres,Del Dios Viviente - Libres Renovados,Arregui 6215,Versalles,10.0,1406,-34.62793,-58.522029
Cristianos,Hermanos Libres,Un Lugar Para El Encuentro,Ricardo Gutierrez 3762,Villa Del Parque,11.0,1417,-34.602357,-58.505294
Cristianos,Hermanos Libres,Iglesia Cristiana Evangélica Hebrón,Alvarez Jonte 1886,Villa Gral Mitre,-,,-34.602791,-58.470064
Cristianos,Hermanos Libres,Iglesia Cristiana Evangélica,Campana 2741,Villa del Parque,-,,-34.605110,-58.494301
Cristianos,Hermanos Libres,Iglesia De Los Hermanos,Correa 3830,Saavedra,-,,-34.550004,-58.486716
Cristianos,Hermanos Libres,Eslava,Avda. Dr. J.F. Aranguren 4525,Velez Sarfield,10.0,1407,-34.631149,-58.491781
Cristianos,Hermanos Libres,Iglesia Gracia y Verdad,Irigoyen 31,Villa Luro,-,,-34.637809,-58.504200
Cristianos,Hermanos Libres,Del Amor De Dios,Bolivia 5589,Villa Pueyrredon,12.0,1419,-34.577183,-58.505077
Cristianos,Hermanos Libres,Cristiana Evalgélica,Zuviría 5340,Villa Lugano,8.0,1439,-34.665676,-58.482273
Cristianos,Hermanos Libres,Iglesia El Buen Pastor,José G. De Artigas 5110,Villa Pueyrredon,-,,,
Cristianos,Hermanos Libres,Cristiana Evangélica,Hipolito Irigoyen 31,,-,1407,,
Cristianos,Iglesia Anglicana,Parroquia San Salvador,Av. Cramer 1816,Belgrano,13.0,C1428CTB,-34.567284,-58.459246
Cristianos,Hermanos Libres,Cristiana Evangélica,General Fructuoso Rivera 6552,Villa Riachuelo,8.0,1439,-34.689761,-58.473282
Cristianos,Iglesia Anglicana,Catedral San Juan Bautista,25 De Mayo 282,San Nicolás,1.0,C1002ABF,-34.60464,-58.371028
Cristianos,Hermanos Libres,Del Amor De Dios,Nahuel  Huapi 5316,Villa Urquiza,12.0,1431,-34.572745,-58.491466
Cristianos,Iglesia Anglicana,Parroquia Buen Pastor,J.L. Cantilo 4232,Villa Devoto,11.0,C1419HOD,-34.60384,-58.51228
Cristianos,Iglesia Reformada,Iglesia Evangélica Reformada De Bs.As. (i.E.R.B.A.),Olazábal 2842,Belgrano,13.0,C1428DHX,-34.562655,-58.462425
Cristianos,Iglesia Reformada,Iglesia Reformada Argentina (holandesa),Quinquela Martín 1763,Barracas,4.0,C1296ADI,-34.64383,-58.374726
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,Bynnon 6766,Liniers,9.0,1407,,
Cristianos,Iglesia Reformada,Reformada Húngara (calvinista),Freire 1739,Belgrano,13.0,C1426AWI,-34.570111,-58.461303
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,Brasil 1750,Constitucion,1.0,1154,-34.629207,-58.390015
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,Mercedes 612,Floresta,10.0,1407,-34.627374,-58.486117
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,J.A. Cabrera 6022,Palermo,14.0,1414,-34.582446,-58.442642
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,White 1556,Parque Avellaneda,9.0,1407,-34.651406,-58.482133
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,Hamburgo 3265,Parque Chas,15.0,1431,-34.586964,-58.48383
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,Viel 2052,Parque Chacabuco,7.0,1424,-34.640238,-58.427522
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,García Del Río 3119,Saavedra,12.0,1429,-34.549844,-58.47673
Cristianos,Iglesias Cristiana Evangélica,Cristiana Evangélica,Galván 4195,Saavedra,12.0,1431,-34.555896,-58.495523
