grupo,culto,nombre_institucion,domicilio,barrio,cgpc,cp,lat,long
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Paz,Pergamino 63,Floresta,10.0,C1406FHA,-34.632759,-58.474338
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Medalla Milagrosa,Curapaligue 1185,Parque Chacabuco,7.0,C1406DAL,-34.636489,-58.446031
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Salud,Marcos Sastre 6115,Versalles,10.0,C1408BAQ,-34.625616,-58.523996
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Consolata,Donato Alvarez 2050,Villa Gral. Mitre,11.0,C1416BTW,-34.603845,-58.464531
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Piedad,Bartolomé Mitre 1524,San Nicolas,1.0,C1037ABD,-34.607762,-58.388071
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Misericordia,Larrazabal 2394,Mataderos,9.0,C1440CVP,-34.661464,-58.49111
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Rábida,Avda. Belgrano 1502,Montserrat,1.0,C1093AAQ,-34.613633,-58.387776
Cristianos,Católico Apostólico Romano ,Nuestra Señora De La Visitación,Paez 2871,Flores,7.0,C1406FQW,-34.621921,-58.472739
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Las Gracias,Condor 2150,Villa Soldati,8.0,C1437FJP,-34.657565,-58.429123
Cristianos,Católico Apostólico Romano ,Cristo Obrero,Calle 14 Y Av. Rafael Castillo,Retiro,1.0,C1104CAA,,
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Las Mercedes,Echeverría 1395,Belgrano,13.0,C1428DQO,-34.556787,-58.445551
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Las Victorias,Paraguay 1204,Retiro,1.0,C1057AAT,-34.598121,-58.384323
Cristianos,Católico Apostólico Romano ,Nuestra Señora De Las Nieves,Ventura Bosch 6662,Liniers,9.0,C1408ECH,-34.64261,-58.520126
