long,lat,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle_nombre,calle_altura,calle_cruce,barrio,comuna,codigo_postal,codigo_postal_argentino,objeto
-58.5140684161612,-34.64782921422,148,Parque Santojanni,Parques y Plazas,Gestión previa HRL,2da. ETAPA / Julio 2012,Disponible,Parques y Plazas,"LEGUIZAMON, MARTINIANO",0,PATRON,Liniers,Comuna 9,,,SITIO WIFI
-58.4633619124008,-34.6654501832529,147,BA Playa (Parque Indoamericano),Parques y Plazas,Gestión previa HRL,,No Disponible,Parques y Plazas,ESCALADA AV.,0,CASTAÑARES AV.,Villa Soldati,Comuna 8,,,SITIO WIFI
-58.4413459514516,-34.674653689653,145,Parque Roca,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Parques y Plazas,"ROCA, CNEL. AV.",3400,,Villa Soldati,Comuna 8,1437,C1437FQU,SITIO WIFI
-58.4067585768478,-34.63861027923,144,Parque Patricios,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Parques y Plazas,USPALLATA,0,MONTEAGUDO,Parque Patricios,Comuna 4,,,SITIO WIFI
-58.3920022966056,-34.5828076747071,143,Facultad de Derecho,Espacio Público,Gestión previa HRL,,Disponible,Otros establecimientos,alcorta,0,PUEYRREDON AV.,Recoleta,Comuna 2,,,SITIO WIFI
-58.450454777315,-34.5898896102022,142,Parque Los Andes,Parques y Plazas,Gestión previa HRL,1ra. ETAPA / Disponible,Disponible,Parques y Plazas,CORRIENTES AV.,0,"ARENAL, CONCEPCION",Chacarita,Comuna 15,,,SITIO WIFI
-58.3692069287033,-34.6268373499491,141,Parque Lezama,Parques y Plazas,Gestión previa HRL,1ra. ETAPA / Disponible,Disponible,Parques y Plazas,"GARCIA, MARTIN AV.",0,DEFENSA,Barracas,Comuna 4,,,SITIO WIFI
-58.4591109950492,-34.6652987965427,140,Parque Indoamericano,Parques y Plazas,Gestión previa HRL,1ra. ETAPA / Disponible,Disponible,Parques y Plazas,ESCALADA AV.,0,CASTAÑARES AV.,Villa Soldati,Comuna 8,,,SITIO WIFI
-58.3854147571991,-34.6338288332998,139,Parque España,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Parques y Plazas,"ALCORTA, AMANCIO AV.",0,BAIGORRI,Barracas,Comuna 4,,,SITIO WIFI
-58.4577579497587,-34.5284958723103,138,Parque de los Niños,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Parques y Plazas,"PAZ, GRAL. AV.",0,"CANTILO, Int.",Nuñez,Comuna 13,,,SITIO WIFI
-58.4727952904743,-34.5978293680767,137,Parque del Hospital Alvear,Parques y Plazas,Gestión previa HRL,2da. ETAPA / Julio 2012,No Disponible,Parques y Plazas,WARNES AV.,2600,,Paternal,Comuna 15,1427,C1427DPR,SITIO WIFI
-58.4585264176268,-34.6793026146634,136,Parque de las Victorias,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Parques y Plazas,"ROCA, CNEL. AV.",0,LARRAZABAL AV.,Villa Lugano,Comuna 8,,,SITIO WIFI
-58.4382144015995,-34.5410387601409,135,Parque de la Memoria,Parques y Plazas,Gestión previa HRL,1ra. ETAPA / Disponible,Disponible,Parques y Plazas,"OBLIGADO RAFAEL, Av.Costanera",5700,,Palermo,Comuna 14,,,SITIO WIFI
-58.4510940952315,-34.6717343086363,133,Parque de la Ciudad,Parques y Plazas,Gestión previa HRL,2da. ETAPA / Julio 2012,Disponible,Parques y Plazas,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",0,ESCALADA AV.,Villa Soldati,Comuna 8,,,SITIO WIFI
-58.4422012066418,-34.6347811925796,131,Parque Chacabuco - Extensión,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Parques y Plazas,ASAMBLEA AV.,0,CURAPALIGUE AV.,Parque Chacabuco,Comuna 7,,,SITIO WIFI
-58.4429484187357,-34.634943956263,130,Parque Chacabuco,Parques y Plazas,Gestión previa HRL,1ra. ETAPA / Disponible,Disponible,Parques y Plazas,"PERON, EVA AV.",0,CURAPALIGUE,Parque Chacabuco,Comuna 7,,,SITIO WIFI
-58.4375498244725,-34.6070592787276,129,Parque Centenario - Extensión,Parques y Plazas,Gestión previa HRL,,Disponible,Parques y Plazas,DIAZ VELEZ AV.,0,"LOBOS, ELEODORO, Dr.",Caballito,Comuna 6,,,SITIO WIFI
-58.4357032105035,-34.6065385142438,128,Parque Centenario,Parques y Plazas,Gestión previa HRL,1ra. ETAPA / Disponible,Disponible,Parques y Plazas,DIAZ VELEZ AV.,0,"LOBOS, ELEODORO, Dr.",Caballito,Comuna 6,,,SITIO WIFI
-58.4791780437483,-34.6451854780061,127,Parque Avellaneda,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,Disponible,Parques y Plazas,DIRECTORIO AV.,0,LACARRA,Parque Avellaneda,Comuna 9,,,SITIO WIFI
-58.4111364526019,-34.5753442218395,126,Parque 3 de Febrero,Parques y Plazas,Gestión previa HRL,3ra. ETAPA / Agosto 2012,No Disponible,Parques y Plazas,CASARES AV.,0,DEL LIBERTADOR AV.,Palermo,Comuna 14,,,SITIO WIFI
-58.421432051906,-34.5705766106117,125,Museo Sívori,Museos,Gestión previa HRL,,Disponible,Museos,"ISABEL, INFANTA AV.",555,,Palermo,Comuna 14,,,SITIO WIFI
-58.4525188846841,-34.6177388141442,124,Museo Luis Perlotti,Museos,Gestión previa HRL,,Disponible,Museos,PUJOL,642,,Caballito,Comuna 6,1405,C1405ALD,SITIO WIFI
-58.4556919522339,-34.5612675974179,123,Museo Larreta,Museos,Gestión previa HRL,,Disponible,Museos,JURAMENTO AV.,2291,,Belgrano,Comuna 13,1428,C1428DNK,SITIO WIFI
-58.4049701604744,-34.5796091968091,122,Museo José Hernández,Museos,Gestión previa HRL,,Disponible,Museos,DEL LIBERTADOR AV.,2373,,Palermo,Comuna 14,1425,C1425AAJ,SITIO WIFI
